"filename", "language", "Dart", "comment", "blank", "total"
"d:\flutter_dreamscape\lib\app.dart", "Dart", 83, 0, 7, 90
"d:\flutter_dreamscape\lib\config\base_url_config.dart", "Dart", 4, 0, 1, 5
"d:\flutter_dreamscape\lib\core\blocs\auth\auth_bloc.dart", "Dart", 27, 0, 8, 35
"d:\flutter_dreamscape\lib\core\blocs\auth\auth_event.dart", "Dart", 18, 0, 7, 25
"d:\flutter_dreamscape\lib\core\blocs\auth\auth_state.dart", "Dart", 20, 0, 8, 28
"d:\flutter_dreamscape\lib\core\error\excetpions\exceptions.dart", "Dart", 2, 0, 1, 3
"d:\flutter_dreamscape\lib\core\error\excetpions\form_exceptions.dart", "Dart", 19, 0, 5, 24
"d:\flutter_dreamscape\lib\core\error\excetpions\secure_storage_exceptions.dart", "Dart", 4, 0, 2, 6
"d:\flutter_dreamscape\lib\core\error\failure.dart", "Dart", 20, 0, 8, 28
"d:\flutter_dreamscape\lib\core\usecase\usecase.dart", "Dart", 10, 0, 3, 13
"d:\flutter_dreamscape\lib\data\auth\auth.dart", "Dart", 1, 0, 1, 2
"d:\flutter_dreamscape\lib\data\auth\auth_repository.dart", "Dart", 93, 0, 16, 109
"d:\flutter_dreamscape\lib\data\auth\models\models.dart", "Dart", 1, 0, 1, 2
"d:\flutter_dreamscape\lib\data\auth\models\user.dart", "Dart", 31, 0, 5, 36
"d:\flutter_dreamscape\lib\data\collection\collection.dart", "Dart", 1, 0, 1, 2
"d:\flutter_dreamscape\lib\data\collection\collection_repository.dart", "Dart", 154, 0, 19, 173
"d:\flutter_dreamscape\lib\data\collection\models\collection.dart", "Dart", 27, 0, 6, 33
"d:\flutter_dreamscape\lib\data\collection\models\collection_paged_list.dart", "Dart", 27, 0, 7, 34
"d:\flutter_dreamscape\lib\data\collection\models\models.dart", "Dart", 2, 0, 1, 3
"d:\flutter_dreamscape\lib\data\image\image.dart", "Dart", 2, 0, 1, 3
"d:\flutter_dreamscape\lib\data\image\image_repository.dart", "Dart", 123, 0, 24, 147
"d:\flutter_dreamscape\lib\data\image\models\color.dart", "Dart", 20, 0, 3, 23
"d:\flutter_dreamscape\lib\data\image\models\image.dart", "Dart", 45, 0, 6, 51
"d:\flutter_dreamscape\lib\data\image\models\image_paged_list.dart", "Dart", 25, 0, 6, 31
"d:\flutter_dreamscape\lib\data\image\models\models.dart", "Dart", 5, 0, 1, 6
"d:\flutter_dreamscape\lib\data\image\models\resolution.dart", "Dart", 14, 0, 3, 17
"d:\flutter_dreamscape\lib\data\image\models\tag.dart", "Dart", 11, 0, 3, 14
"d:\flutter_dreamscape\lib\data\secure_storage\secure_storage.dart", "Dart", 1, 0, 1, 2
"d:\flutter_dreamscape\lib\data\secure_storage\secure_storage_repository.dart", "Dart", 5, 0, 2, 7
"d:\flutter_dreamscape\lib\data\user\models\models.dart", "Dart", 1, 0, 1, 2
"d:\flutter_dreamscape\lib\data\user\models\user.dart", "Dart", 12, 0, 3, 15
"d:\flutter_dreamscape\lib\data\user\user.dart", "Dart", 1, 0, 1, 2
"d:\flutter_dreamscape\lib\data\user\user_repository.dart", "Dart", 23, 0, 6, 29
"d:\flutter_dreamscape\lib\domain\repository\auth_repository_abstract.dart", "Dart", 18, 0, 3, 21
"d:\flutter_dreamscape\lib\domain\repository\collection_repository_abstract.dart", "Dart", 24, 0, 7, 31
"d:\flutter_dreamscape\lib\domain\repository\image_repository_abstract.dart", "Dart", 27, 0, 8, 35
"d:\flutter_dreamscape\lib\domain\repository\user_repository_abstract.dart", "Dart", 4, 0, 2, 6
"d:\flutter_dreamscape\lib\domain\usecase\collection\append_image_to_collection.dart", "Dart", 34, 0, 8, 42
"d:\flutter_dreamscape\lib\domain\usecase\collection\create_collection.dart", "Dart", 39, 0, 8, 47
"d:\flutter_dreamscape\lib\domain\usecase\collection\get_paged_user_collection_list.dart", "Dart", 38, 0, 8, 46
"d:\flutter_dreamscape\lib\domain\usecase\collection\remove_image_from_collection.dart", "Dart", 34, 0, 8, 42
"d:\flutter_dreamscape\lib\domain\usecase\image\get_image.dart", "Dart", 24, 0, 8, 32
"d:\flutter_dreamscape\lib\domain\usecase\image\get_paged_image_list.dart", "Dart", 69, 0, 8, 77
"d:\flutter_dreamscape\lib\domain\usecase\image\get_paged_similar_image_list.dart", "Dart", 44, 0, 7, 51
"d:\flutter_dreamscape\lib\feature\image\bloc\image_bloc.dart", "Dart", 30, 0, 8, 38
"d:\flutter_dreamscape\lib\feature\image\bloc\image_event.dart", "Dart", 9, 0, 3, 12
"d:\flutter_dreamscape\lib\feature\image\bloc\image_state.dart", "Dart", 10, 0, 6, 16
"d:\flutter_dreamscape\lib\feature\image\image.dart", "Dart", 1, 0, 0, 1
"d:\flutter_dreamscape\lib\feature\image\view\image_screen.dart", "Dart", 191, 0, 15, 206
"d:\flutter_dreamscape\lib\feature\image\view\view.dart", "Dart", 1, 0, 0, 1
"d:\flutter_dreamscape\lib\feature\image\widgets\append_to_collection\bloc\append_to_collection_bloc.dart", "Dart", 55, 0, 11, 66
"d:\flutter_dreamscape\lib\feature\image\widgets\append_to_collection\bloc\append_to_collection_event.dart", "Dart", 28, 0, 6, 34
"d:\flutter_dreamscape\lib\feature\image\widgets\append_to_collection\bloc\append_to_collection_state.dart", "Dart", 18, 0, 11, 29
"d:\flutter_dreamscape\lib\feature\image\widgets\append_to_collection\view\append_to_collection_widget.dart", "Dart", 94, 0, 8, 102
"d:\flutter_dreamscape\lib\feature\image\widgets\create_collection\bloc\create_collection_bloc.dart", "Dart", 31, 0, 7, 38
"d:\flutter_dreamscape\lib\feature\image\widgets\create_collection\bloc\create_collection_event.dart", "Dart", 19, 0, 4, 23
"d:\flutter_dreamscape\lib\feature\image\widgets\create_collection\bloc\create_collection_state.dart", "Dart", 10, 0, 7, 17
"d:\flutter_dreamscape\lib\feature\image\widgets\create_collection\view\create_collection_widget.dart", "Dart", 129, 0, 7, 136
"d:\flutter_dreamscape\lib\feature\image\widgets\image_color_palette.dart", "Dart", 20, 0, 3, 23
"d:\flutter_dreamscape\lib\feature\image\widgets\image_display.dart", "Dart", 30, 0, 3, 33
"d:\flutter_dreamscape\lib\feature\image\widgets\image_resolution.dart", "Dart", 23, 0, 2, 25
"d:\flutter_dreamscape\lib\feature\image\widgets\image_tag_list.dart", "Dart", 51, 0, 3, 54
"d:\flutter_dreamscape\lib\feature\image\widgets\similar_image_list\bloc\similar_image_list_bloc.dart", "Dart", 36, 0, 8, 44
"d:\flutter_dreamscape\lib\feature\image\widgets\similar_image_list\bloc\similar_image_list_event.dart", "Dart", 9, 0, 3, 12
"d:\flutter_dreamscape\lib\feature\image\widgets\similar_image_list\bloc\similar_image_list_state.dart", "Dart", 24, 0, 7, 31
"d:\flutter_dreamscape\lib\feature\image\widgets\similar_image_list\view\similar_image_list.dart", "Dart", 65, 0, 7, 72
"d:\flutter_dreamscape\lib\feature\image\widgets\user_card.dart", "Dart", 78, 0, 3, 81
"d:\flutter_dreamscape\lib\feature\image\widgets\widgets.dart", "Dart", 4, 0, 1, 5
"d:\flutter_dreamscape\lib\feature\image_list\bloc\image_list_bloc.dart", "Dart", 77, 0, 17, 94
"d:\flutter_dreamscape\lib\feature\image_list\bloc\image_list_event.dart", "Dart", 11, 0, 5, 16
"d:\flutter_dreamscape\lib\feature\image_list\bloc\image_list_state.dart", "Dart", 28, 0, 7, 35
"d:\flutter_dreamscape\lib\feature\image_list\image_list.dart", "Dart", 1, 0, 0, 1
"d:\flutter_dreamscape\lib\feature\image_list\view\image_list_screen.dart", "Dart", 180, 0, 14, 194
"d:\flutter_dreamscape\lib\feature\image_list\view\view.dart", "Dart", 1, 0, 0, 1
"d:\flutter_dreamscape\lib\feature\image_search_params\view\image_search_params.dart", "Dart", 111, 0, 7, 118
"d:\flutter_dreamscape\lib\feature\login\bloc\login_bloc.dart", "Dart", 28, 0, 4, 32
"d:\flutter_dreamscape\lib\feature\login\bloc\login_event.dart", "Dart", 14, 0, 5, 19
"d:\flutter_dreamscape\lib\feature\login\bloc\login_state.dart", "Dart", 20, 0, 11, 31
"d:\flutter_dreamscape\lib\feature\login\login.dart", "Dart", 1, 0, 1, 2
"d:\flutter_dreamscape\lib\feature\login\view\login_screen.dart", "Dart", 177, 0, 6, 183
"d:\flutter_dreamscape\lib\feature\profile\bloc\profile_bloc.dart", "Dart", 42, 0, 8, 50
"d:\flutter_dreamscape\lib\feature\profile\bloc\profile_event.dart", "Dart", 10, 0, 4, 14
"d:\flutter_dreamscape\lib\feature\profile\bloc\profile_state.dart", "Dart", 15, 0, 7, 22
"d:\flutter_dreamscape\lib\feature\profile\profile.dart", "Dart", 1, 0, 1, 2
"d:\flutter_dreamscape\lib\feature\profile\view\profile_screen.dart", "Dart", 138, 0, 6, 144
"d:\flutter_dreamscape\lib\feature\register\bloc\register_bloc.dart", "Dart", 28, 0, 4, 32
"d:\flutter_dreamscape\lib\feature\register\bloc\register_event.dart", "Dart", 16, 0, 5, 21
"d:\flutter_dreamscape\lib\feature\register\bloc\register_state.dart", "Dart", 20, 0, 11, 31
"d:\flutter_dreamscape\lib\feature\register\view\register_screen.dart", "Dart", 218, 0, 8, 226
"d:\flutter_dreamscape\lib\feature\share\widgets\collection_card.dart", "Dart", 52, 0, 4, 56
"d:\flutter_dreamscape\lib\feature\share\widgets\form_error_widget.dart", "Dart", 24, 0, 4, 28
"d:\flutter_dreamscape\lib\feature\share\widgets\image_card.dart", "Dart", 27, 0, 4, 31
"d:\flutter_dreamscape\lib\feature\share\widgets\request_error.dart", "Dart", 29, 0, 4, 33
"d:\flutter_dreamscape\lib\feature\share\widgets\success_dialog.dart", "Dart", 31, 0, 4, 35
"d:\flutter_dreamscape\lib\feature\upload\bloc\bloc\upload_bloc.dart", "Dart", 27, 0, 7, 34
"d:\flutter_dreamscape\lib\feature\upload\bloc\bloc\upload_event.dart", "Dart", 16, 0, 7, 23
"d:\flutter_dreamscape\lib\feature\upload\bloc\bloc\upload_state.dart", "Dart", 9, 0, 6, 15
"d:\flutter_dreamscape\lib\feature\upload\upload.dart", "Dart", 1, 0, 1, 2
"d:\flutter_dreamscape\lib\feature\upload\view\upload_screen.dart", "Dart", 119, 0, 12, 131
"d:\flutter_dreamscape\lib\injection_container.dart", "Dart", 35, 0, 4, 39
"d:\flutter_dreamscape\lib\main.dart", "Dart", 17, 0, 3, 20
"d:\flutter_dreamscape\lib\theme\theme.dart", "Dart", 6, 0, 2, 8
"Total", "-", 3683, 0, 569, 4252